"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","Lake","Full","BLM1_fit",NA,0.0392185434562056,0.000277579844301314,0.154754269932332,0.00310966151632506
"2","Lake","Full","BLM1_fit_NoErrors",NA,0.0393883044631647,0.00028979771133252,0.152420036635657,0.00323768659871618
"3","Lake","Full","BLM3","1",0.0346939481090213,0.00349420434415156,0.213653837884105,0.0417024409566014
"4","Lake","Full","BLM3","2",0.0391508125608106,0.000283310991451872,0.15502008187324,0.00315961930314508
"5","Lake","Full","Deming",NA,0.0420206496604653,0.00220080638106318,0.126067012933264,0.0204635702842413
"6","Lake","Full","LM",NA,0.0393847748456249,0.000372733443338272,0.152454775099539,0.00419776385803006
"7","Lake","Full","Weighted",NA,0.0393063459151344,0.000303944606975896,0.153314726438969,0.00342906232282556
"8","Lake","Full","York",NA,0.0390503523556481,0.000464409389156248,0.157542994735441,0.00529898821085681
"9","Lake","subsets","BLM1_fit","1",0.0347477307178958,0.00360573039243135,0.212856145605173,0.0429840799669227
"10","Lake","subsets","BLM1_fit","2",0.0391502612892496,0.000280691260584633,0.154999258767611,0.00314903634729642
"11","Lake","subsets","BLM1_fit_NoErrors","1",0.0344654625540134,0.00319597887326616,0.216525150213725,0.0382742769358386
"12","Lake","subsets","BLM1_fit_NoErrors","2",0.0393078858798932,0.000291948023966401,0.152719423935788,0.00323360173214061
"13","Lake","subsets","BLM3","1",0.0353817254099928,0.00350126286193635,0.20538864573401,0.0418206811254506
"14","Lake","subsets","BLM3","2",0.0391562358444669,0.00029143974113571,0.154949994985766,0.00324193345634552
"15","Lake","subsets","Deming","1",0.0265745255902088,0.000496221809662033,0.324132553805462,0.00192762925482241
"16","Lake","subsets","Deming","2",0.0428625304580396,0.000158414278331851,0.114893018321423,0.00204245351602629
"17","Lake","subsets","LM","1",0.0338942734863226,0.000762407702235464,0.223545780869983,0.00905622768374117
"18","Lake","subsets","LM","2",0.0390957524151964,0.000498019914009014,0.155653456837423,0.0051466216860423
"19","Lake","subsets","Weighted","1",0.0383151468901642,0.00103536583189531,0.169178169651532,0.0139473269587785
"20","Lake","subsets","Weighted","2",0.0394132300712722,0.000139766382490108,0.151939436159277,0.000604183268516759
"21","Lake","subsets","York","1",0.0461107380432662,0.00060606806644695,0.0756775730356857,0.00827404372415464
"22","Lake","subsets","York","2",0.0391384939333844,0.00066304098710378,0.157707840852717,0.00803677832646511
