"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","Mineralogy","Full","BLM1_fit",NA,0.0392433130275575,0.000285222288850658,0.154409495452981,0.00322595061529447
"2","Mineralogy","Full","BLM1_fit_NoErrors",NA,0.0394182187354316,0.000283705195792725,0.15191805286488,0.00318048735651915
"3","Mineralogy","Full","BLM3","1",0.0363676429938708,0.00124720720730749,0.187204207714248,0.0146360384164843
"4","Mineralogy","Full","BLM3","2",0.0295789671459056,0.00273836289763608,0.265266976262475,0.0309162708925864
"5","Mineralogy","Full","BLM3","3",0.0388366246070493,0.000306570204842768,0.160286855415828,0.00347375353481855
"6","Mineralogy","Full","BLM3","4",0.0389020950565925,0.00122875652058776,0.158325030145442,0.00805347540171119
"7","Mineralogy","Full","BLM3","5",0.0419192684632675,0.00113702604903278,0.0849574163012016,0.0109285274505425
"8","Mineralogy","Full","Deming",NA,0.0420742088876651,0.00221065280832131,0.125100664927152,0.0208587706616905
"9","Mineralogy","Full","LM",NA,0.0394132789935494,0.000360351098740471,0.151975903914934,0.00406471263194974
"10","Mineralogy","Full","Weighted",NA,0.0393273704351607,0.000317095403434218,0.152926374605483,0.00359507590272292
"11","Mineralogy","Full","York",NA,0.0390136071907721,0.000429993301681395,0.158480542008087,0.00481077658645042
"12","Mineralogy","subsets","BLM1_fit","1",0.0364492070802395,0.00100568842754572,0.186290980832801,0.011765287686778
"13","Mineralogy","subsets","BLM1_fit","2",0.0291523992557907,0.0014414941480005,0.270272761262445,0.0160499989047212
"14","Mineralogy","subsets","BLM1_fit","3",0.0388215790075279,0.000332788445155942,0.160458674093841,0.00376513208917803
"15","Mineralogy","subsets","BLM1_fit","4",0.0389788035892443,0.00129503729010649,0.157895934678289,0.00856155899392194
"16","Mineralogy","subsets","BLM1_fit","5",0.0418572392550303,0.000997370971770233,0.0850598671920656,0.00958522545866284
"17","Mineralogy","subsets","BLM1_fit_NoErrors","1",0.0372408186639796,0.00101923634526731,0.177082723211223,0.011964105181944
"18","Mineralogy","subsets","BLM1_fit_NoErrors","2",0.030765425321979,0.00162388914071899,0.251949622688522,0.0184772759161786
"19","Mineralogy","subsets","BLM1_fit_NoErrors","3",0.0388003930129714,0.000342150312820527,0.160424811948899,0.00388729160405501
"20","Mineralogy","subsets","BLM1_fit_NoErrors","4",0.0395598644526823,0.00115020234008216,0.152981752688114,0.00836738459371759
"21","Mineralogy","subsets","BLM1_fit_NoErrors","5",0.0422115135818358,0.0010978043169331,0.0816030025411043,0.0106049088789702
"22","Mineralogy","subsets","BLM3","1",0.0365150587214817,0.0010701562845935,0.185537232935053,0.0124918441517774
"23","Mineralogy","subsets","BLM3","2",0.0289493185290568,0.00138722080310843,0.272507217231901,0.0153975529678565
"24","Mineralogy","subsets","BLM3","3",0.0388396128109088,0.000333219021485996,0.160219395321248,0.00378629178444867
"25","Mineralogy","subsets","BLM3","4",0.0390051481725796,0.00131445149600157,0.157557194055977,0.00873983750758917
"26","Mineralogy","subsets","BLM3","5",0.0418086130014213,0.000975352249607837,0.085592975391097,0.00933461373657745
"27","Mineralogy","subsets","Deming","1",0.0528434281279095,0.000779966270956628,0.0156942118606384,0.0102562133882232
"28","Mineralogy","subsets","Deming","2",0.032365287305995,0.000992251367624221,0.239760567959983,0.00956549862360719
"29","Mineralogy","subsets","Deming","3",0.0405022753661866,0.00105842153517741,0.126107376358961,0.00898376137872811
"30","Mineralogy","subsets","Deming","4",0.0381008725078605,0.00765695526758142,0.15981199004196,0.0509715818983989
"31","Mineralogy","subsets","Deming","5",0.0427341609148555,0.00244097113829561,0.0688631556867595,0.0212930128084249
"32","Mineralogy","subsets","LM","1",0.0365165428927964,3.14693221496187e-05,0.185846404303103,0.00361472560528283
"33","Mineralogy","subsets","LM","2",0.0299932617615492,0.000920763438064149,0.260355941406714,0.00787794797538216
"34","Mineralogy","subsets","LM","3",0.0386165968606964,0.000171535035865015,0.163272191575481,0.00188427384989522
"35","Mineralogy","subsets","LM","4",0.039912607254396,0.00105792720102506,0.149711366596698,0.0110430736880561
"36","Mineralogy","subsets","LM","5",0.0420220009007423,0.000569163978825185,0.0826364982994653,0.0037544504962512
"37","Mineralogy","subsets","Weighted","1",0.0370513112598658,0.000108042625079352,0.180437319544041,0.000787321648164503
"38","Mineralogy","subsets","Weighted","2",0.0309667839015414,0.00188531302798818,0.248163314348016,0.0234250083829103
"39","Mineralogy","subsets","Weighted","3",0.0388911270736727,2.65248713008956e-06,0.159389671340097,6.75641620626032e-05
"40","Mineralogy","subsets","Weighted","4",0.0391793130300275,0.00166190655463993,0.154663823985423,0.0110625062684325
"41","Mineralogy","subsets","Weighted","5",0.042393407833888,0.00131127701098281,0.0818425451053469,0.00443217176602727
"42","Mineralogy","subsets","York","1",0.0393200087167937,3.7255345938043e-05,0.157864507261743,0.000663374394669178
"43","Mineralogy","subsets","York","2",0.0293337633812478,0.000209623602981353,0.267737389545901,0.00137954673148885
"44","Mineralogy","subsets","York","3",0.0384065624931385,0.000240567793710729,0.163109078388504,0.00380949219593858
"45","Mineralogy","subsets","York","4",0.0382405188908927,0.000643511129829982,0.166460684129078,0.00554140061035706
"46","Mineralogy","subsets","York","5",0.0422032137005551,0.00239574586823479,0.0827459222409744,0.00987590123934686
