Publication,Code,AdditionalTaxonomicInfo,Genus,Species,CurrentGenus,CurrentSpecies,ForamEcogroup,EcoGroupPub,,Sample Name,Mineralogy,Lab,Forams,MarineMetazoa,Teeth,NaturalSynthetic,Mollusk,Lake,Corals,N,D47,D47error,Temperature_C,Temperature,TempError_C,TempError,d18O water,d18O water SD,Acid T,pH,Source
2019,Muller,,,,,,,,,LV 15 CM,D,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,16,0.617,0.022,25.5,11.21179018,5.7,0.416,1.8,1,70,,
2019,Muller,,,,,,,,,LV 71 CM,D,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,16,0.599,0.019,25.5,11.21179018,5.7,0.416,1.8,1,70,,
2019,Muller,,,,,,,,,Qatar 1,D,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,25,0.591,0.015,32,10.73923266,6,0.410,,,70,,
2019,Muller,,,,,,,,,Leeds 23,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,16,0.488,0.017,70,8.492430347,2,0.098,-7.31,0.1,70,,
2019,Muller,,,,,,,,,Leeds 1,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,12,0.477,0.014,70,8.492430347,2,0.098,-7.35,0.1,70,,
2019,Muller,,,,,,,,,Leeds 6,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,11,0.503,0.02,70,8.492430347,2,0.098,-7.36,0.1,70,,
2019,Muller,,,,,,,,,Leeds 12,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,8,0.484,0.037,70,8.492430347,2,0.098,-7.28,0.1,70,,
2019,Muller,,,,,,,,,Leeds 20,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,9,0.495,0.042,70,8.492430347,2,0.098,-7.33,0.1,70,,
2019,Muller,,,,,,,,,Leeds 81,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,18,0.495,0.022,70,8.492430347,2,0.098,,,70,,
2019,Muller,,,,,,,,,Leeds 82,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,21,0.479,0.016,70,8.492430347,2,0.098,-5.99,0.1,70,,
2019,Muller,,,,,,,,,Leeds 83,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,41,0.493,0.015,70,8.492430347,2,0.098,-7.12,0.1,70,,
2019,Muller,,,,,,,,,Leeds 21,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,6,0.406,0.027,140,5.858473716,2,0.056,-7.31,0.1,70,,
2019,Muller,,,,,,,,,Leeds 14,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,15,0.378,0.014,140,5.858473716,2,0.056,-7.13,0.1,70,,
2019,Muller,,,,,,,,,Leeds 22,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,9,0.381,0.015,140,5.858473716,2,0.056,-7.1,0.1,70,,
2019,Muller,,,,,,,,,Leeds 15,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,21,0.389,0.021,140,5.858473716,2,0.056,-7.05,0.1,70,,
2019,Muller,,,,,,,,,Leeds 34,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,6,0.302,0.054,220,4.111894138,2,0.033,-6.91,0.1,70,,
2019,Muller,,,,,,,,,Leeds 41,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,6,0.328,0.025,220,4.111894138,2,0.033,-6.71,0.1,70,,
2019,Muller,,,,,,,,,Leeds 84,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,12,0.291,0.018,220,4.111894138,2,0.033,-4.74,0.1,70,,
2019,Muller,,,,,,,,,Leeds 85,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,16,0.296,0.028,220,4.111894138,2,0.033,-4.72,0.1,70,,
2019,Muller,,,,,,,,,Leeds 86,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,11,0.3,0.017,220,4.111894138,2,0.033,-5.37,0.1,70,,
2019,Muller,,,,,,,,,Rodolo (H),D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,87,0.21,0.01,1100,0.5303517882,2,0.002,,,70,,
2019,Muller,,,,,,,,,Sansa (H),D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,59,0.208,0.011,1100,0.5303517882,2,0.002,,,70,,
2013,Henkes,Bivalve,Astarte,Astarte borealis,Astarte,Astarte borealis,,,,Ab-1,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.674,0.010416913,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen
2013,Henkes,Bivalve,Astarte,Astarte borealis,Astarte,Astarte borealis,,,,Ab-2,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.672,0.006599117,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen
2013,Henkes,Bivalve,Astarte,Astarte borealis,Astarte,Astarte borealis,,,,Ab-3,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.655,0.020200522,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen
2013,Henkes,Bivalve,Astarte,Astarte crenata,Astarte,Astarte crenata,,,,Ac-1_B-12,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,6,0.685,0.002785286,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen
2013,Henkes,Bivalve,Astarte,Astarte crenata,Astarte,Astarte crenata,,,,Ac-1_B-14,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.684,0.005358955,2,13.20872705,2,0.190,0.66,NA,90,,Petersen
2013,Henkes,Bivalve,Astarte,Astarte crenata,Astarte,Astarte crenata,,,,Ac-2,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.656,0.011186398,2,13.20872705,2,0.190,0.66,NA,90,,Petersen
2013,Henkes,Rhychonellata,Ecnomiosa,Ecnomiosa gerda,Ecnomiosa,Ecnomiosa gerda,,,,Brach-m1,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.66,0.002489598,5.5,12.87899294,1,0.092,0,NA,90,,Petersen
2013,Henkes,Rhychonellata,Ecnomiosa,Ecnomiosa gerda,Ecnomiosa,Ecnomiosa gerda,,,,Brach-m2,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.666,0.014890612,5.5,12.87899294,1,0.092,0,NA,90,,Petersen
2013,Henkes,Bivalve,Clinocardium,Clinocardium ciliatum,Ciliatocardium,Ciliatocardium ciliatum,,,,Cc-1_B-12,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.658,0.010538726,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen
2013,Henkes,Bivalve,Clinocardium,Clinocardium ciliatum,Ciliatocardium,Ciliatocardium ciliatum,,,,Cc-1_B-14,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.658,0.012756774,2,13.20872705,2,0.190,0.66,NA,90,,Petersen
2013,Henkes,Bivalve,Clinocardium,Clinocardium ciliatum,Ciliatocardium,Ciliatocardium ciliatum,,,,Cc-2_B-12,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.735,0.049702075,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen
2013,Henkes,Bivalve,Clinocardium,Clinocardium ciliatum,Ciliatocardium,Ciliatocardium ciliatum,,,,Cc-2_B-14,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.666,0.01308367,2,13.20872705,2,0.190,0.66,NA,90,,Petersen
2013,Henkes,Bivalve,Clinocardium,Clinocardium ciliatum,Ciliatocardium,Ciliatocardium ciliatum,,,,Cc-3,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.67,0.009147,2,13.20872705,2,0.190,0.66,NA,90,,Petersen
2013,Henkes,Bivalve,Chlamys,Chlamys islandica,Chlamys,Chlamys islandica,,,,Ci-1,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.677,0.011792548,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen
2013,Henkes,Bivalve,Chlamys,Chlamys islandica,Chlamys,Chlamys islandica,,,,Ci-2,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.65,0.004769117,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen
2013,Henkes,Bivalve,Chlamys,Chlamys islandica,Chlamys,Chlamys islandica,,,,Ci-3,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,5,0.674,0.008630987,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen
2013,Henkes,Gastropoda,Conus,Conus ermineus,Conus,Conus ermineus,,,,FGS-1-1,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.566,0.00570956,27.5,11.06311899,2.2,0.160,1.34,NA,90,,Petersen
2013,Henkes,Gastropoda,Conus,Conus ermineus,Conus,Conus ermineus,,,,FGS-1-2,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.594,0.004770508,23,11.40188158,1.5,0.115,0.99,NA,90,,Petersen
2013,Henkes,Gastropoda,Conus,Conus ermineus,Conus,Conus ermineus,,,,FGS-1-3,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.602,0.005249356,19.8,11.6523359,0.8,0.063,0.68,NA,90,,Petersen
2013,Henkes,Rhychonellata,Magellania,Magellania spp,Magellania,Magellania spp,,,,GB3-5,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.674,0.010999313,-1,13.50154048,1,0.099,-0.2,NA,90,,Petersen
2013,Henkes,Rhychonellata,Magellania,Magellania spp,Magellania,Magellania spp,,,,GB4-3,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.659,0.032048791,-1,13.50154048,1,0.099,-0.2,NA,90,,Petersen
2013,Henkes,Bivalve,Hiatella,Hiatella arctica,Hiatella,Hiatella arctica,,,,Ha-1,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.664,0.00769264,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen
2013,Henkes,Bivalve,Hiatella,Hiatella arctica,Hiatella,Hiatella arctica,,,,Ha-2,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.678,0.005175817,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen
2013,Henkes,Bivalve,Hiatella,Hiatella arctica,Hiatella,Hiatella arctica,,,,Ha-3,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,6,0.694,0.009203748,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen
2013,Henkes,Rhychonellata,Lacazella,Lacazella spp,Lacazella,Lacazella spp,,,,HMB-3,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,2,0.614,0.035845,10.5,12.42894952,1,0.087,0.1,NA,90,,Petersen
2013,Henkes,Bivalve,Crassostrea,Crassostrea virginica,Crassostrea,Crassostrea virginica,,,,HPL-1,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.639,0.007441911,14.4,12.09409167,0.5,0.042,-3.76,NA,90,,Petersen
2013,Henkes,Bivalve,Crassostrea,Crassostrea virginica,Crassostrea,Crassostrea virginica,,,,HPL-2,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,2,0.591,0.00356,27.3,11.07785263,0.2,0.015,-3.54,NA,90,,Petersen
2013,Henkes,Bivalve,Crassostrea,Crassostrea virginica,Crassostrea,Crassostrea virginica,,,,HPL-3,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.606,0.006175827,23.7,11.34817158,0.1,0.008,-3.69,NA,90,,Petersen
2013,Henkes,Bivalve,Mya,Mya truncata,Mya,Mya truncata,,,,Mt-1,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.665,0.006931581,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen
2013,Henkes,Bivalve,Mya,Mya truncata,Mya,Mya truncata,,,,Mt-2,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,4,0.649,0.011757127,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen
2013,Henkes,Bivalve,Mya,Mya truncata,Mya,Mya truncata,,,,Mt-3,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.668,0.004105956,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen
2013,Henkes,Bivalve,Mya,Mya arenaria,Mya,Mya arenaria,,,,Mya-16,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.622,0.004050362,15.9,11.96889488,1.7,0.140,-1.57,NA,90,,Petersen
2013,Henkes,Bivalve,Mya,Mya arenaria,Mya,Mya arenaria,,,,Mya-3.5,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,2,0.651,0.0227,3.4,13.07533048,0.8,0.075,-1.57,NA,90,,Petersen
2013,Henkes,Bivalve,Mya,Mya arenaria,Mya,Mya arenaria,,,,Mya-8.5,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.619,0.012376039,8.6,12.59714564,2.2,0.194,-1.66,NA,90,,Petersen
2013,Henkes,Bivalve,Mytilus,Mytilus edulis,Mytilus,Mytilus edulis,,,,Mytilus-12,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,2,0.672,0.019265,12,12.29853123,0.5,0.043,-2.03,NA,90,,Petersen
2013,Henkes,Bivalve,Mytilus,Mytilus edulis,Mytilus,Mytilus edulis,,,,Mytilus-15,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,4,0.645,0.004956149,15,12.04377829,0.5,0.042,-1.37,NA,90,,Petersen
2013,Henkes,Bivalve,Mytilus,Mytilus edulis,Mytilus,Mytilus edulis,,,,Mytilus-4,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,5,0.68,0.007852922,4,13.01877838,0.5,0.047,-1.94,NA,90,,Petersen
2013,Henkes,Bivalve,Mytilus,Mytilus edulis,Mytilus,Mytilus edulis,,,,Mytilus-8,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,4,0.661,0.007614406,8,12.65096995,0.5,0.045,-3.07,NA,90,,Petersen
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,,P105,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.613,0.005926348,20,11.63644183,1,0.079,-0.34,NA,90,,Petersen
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,,P110,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.596,0.010779306,20,11.63644183,1,0.079,-0.34,NA,90,,Petersen
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,,P132,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.628,0.006438362,24.5,11.28725213,0.5,0.038,-0.34,NA,90,,Petersen
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,,P52,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.614,0.000898016,24.5,11.28725213,0.5,0.038,-0.34,NA,90,,Petersen
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,,P8-30,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.622,0.003532734,24.5,11.28725213,0.5,0.038,-0.34,NA,90,,Petersen
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,,P95,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.611,0.006827183,20,11.63644183,1,0.079,-0.34,NA,90,,Petersen
2013,Henkes,Bivalve,Phacoides,Phacoides pectinatus,Phacoides,Phacoides pectinatus,,,,Pp-1,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.593,0.000946262,29.5,10.91738544,3,0.213,0.8,NA,90,,Petersen
2013,Henkes,Bivalve,Phacoides,Phacoides pectinatus,Phacoides,Phacoides pectinatus,,,,Pp-2,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.604,0.01374225,29.5,10.91738544,3,0.213,0.8,NA,90,,Petersen
2013,Henkes,Bivalve,Phacoides,Phacoides pectinatus,Phacoides,Phacoides pectinatus,,,,Pp-3,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,6,0.605,0.008059193,29.5,10.91738544,3,0.213,0.8,NA,90,,Petersen
2013,Henkes,Rhychonellata,Lacazella,Lacazella spp,Lacazella,Lacazella spp,,,,RBJ-1-3,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.591,0.005223958,27.5,11.06311899,1,0.073,0.8,NA,90,,Petersen
2013,Henkes,Bivalve,Arctica,Arctica islandica,Arctica,Arctica islandica,,,,WG061278,A,JohnsHopkins,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.635,0.01232698,4.7,12.95326343,2,0.184,0.08,NA,90,,Petersen
2014,Fernandez,,,,,,,,,SID3,S,Tulane,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,4,0.534,0.015,39,10.26297619,1,0.065,-6.1,0.4,100,,Petersen
2014,Fernandez,,,,,,,,,SID4,S,Tulane,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,5,0.507,0.017,51,9.517172655,1,0.058,-5.9,0.4,100,,Petersen
2014,Fernandez,,,,,,,,,SID5,S,Tulane,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,3,0.583,0.013,21,11.55745722,1,0.078,-6.4,0.4,100,,Petersen
2014,Wacker,Brachiopod,Dyscolia,Dyscolia wyvillei,Dyscolia,Dyscolia wyvillei,,,,Dwyvillei,C,Goethe,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,27,0.644247407,0.003275366,10,12.47288356,1,0.088,0.49,NA,90,,Petersen
2014,Wacker,Foraminifera,Globorotalia,Globorotalia hirsuta,Globorotalia,Globorotalia hirsuta,4 Open ocean sub-thermocline,Aze et al 2011,,Ghirsuta,C,Goethe,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,2,0.644755,0.006115,9,12.56145338,1,0.089,,,90,,Petersen
2014,Wacker,Bivalve,Spondylu,Spondylu ssp,Spondylu,Spondylu ssp,,,,Spondylussp,C,Goethe,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,10,0.587165,0.005998344,29,10.95354767,1,0.072,0.5,NA,90,,Petersen
2014,Wacker,,,,,,,,,Coldseepcc,C,Goethe,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,6,0.657013333,0.006103851,9,12.56145338,0.1,0.009,-1.77,NA,90,,Petersen
2014,Wacker,Eggshell,Struthio,Struthio camelus,Struthio,Struthio camelus,,,,Ostricheggshell,C,Goethe,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,15,0.574958,0.005291287,38,10.32905023,0.6,0.040,,,90,,Petersen
2014,Wacker,Foraminifera,Globigerinoides,Globigerinoides ruber,Globigerinoides,Globigerinoides ruber,1 Open ocean mixed-layer tropical/subtropical with symbionts,Aze et al 2011,,Gruber,C,Goethe,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,2,0.592845,0.014415,26,11.17434268,1,0.074,0.56,NA,90,,Petersen
2014,Wacker,Foraminifera,Globorotalia,Globorotalia inflata,Globoconella,Globoconella inflata,3 Open ocean thermocline,Aze et al 2011,,Ginflata,C,Goethe,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,2,0.625835,0.003875,14,12.12780928,1,0.084,,,90,,Petersen
2019,Davies,Tripneustes,Tripneustes,,,,,,,GA1,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.628,0.006,28.4,10.99718002,0.15,0.011,0.28,0.02,90,,
2019,Davies,Tripneustes,Tripneustes,,,,,,,GA2,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.621,0.005,27.8,11.04107359,0.15,0.011,0.28,0.02,90,,
2019,Davies,Tripneustes,Tripneustes,,,,,,,GLT,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,5,0.631,0.011,27.8,11.04107359,0.15,0.011,0.28,0.02,90,,
2019,Davies,Tripneustes,Tripneustes,,,,,,,GS,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.614,0.012,27.8,11.04107359,0.15,0.011,0.28,0.02,90,,
2019,Davies,Tripneustes,Tripneustes,,,,,,,GT,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.628,0.012,27.8,11.04107359,0.15,0.011,0.28,0.02,90,,
2019,Davies,Diadema Sp.,Diadema,,,,,,,BS,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.631,0.005,27.8,11.04107359,0.15,0.011,0.28,0.02,90,,
2019,Davies,Diadema Sp.,Diadema,,,,,,,BT,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.645,0.004,27.8,11.04107359,0.15,0.011,0.28,0.02,90,,
2019,Davies,Dendraster,Dendraster,,,,,,,MA1,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.689,0.005,13.4,12.1786507,0.3,0.025,-0.57,0.03,90,,
2019,Davies,Dendraster,Dendraster,,,,,,,MA2,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.678,0.004,13.4,12.1786507,0.3,0.025,-0.57,0.03,90,,
2019,Davies,Dendraster,Dendraster,,,,,,,MB,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.661,0.005,13.4,12.1786507,0.3,0.025,-0.57,0.03,90,,
2019,Davies,Dendraster,Dendraster,,,,,,,ML,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.674,0.010,13.4,12.1786507,0.3,0.025,-0.57,0.03,90,,
2019,Davies,Dendraster,Dendraster,,,,,,,MP,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.681,0.012,13.4,12.1786507,0.3,0.025,-0.57,0.03,90,,
2019,Davies,Dendraster,Dendraster,,,,,,,MS,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.664,0.006,13.4,12.1786507,0.3,0.025,-0.57,0.03,90,,
2019,Davies,Paracentrotus,Paracentrotus,,,,,,,YA1,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.629,0.012,18.5,11.7564456,0.54,0.043,1.36,0.03,90,,
2019,Davies,Paracentrotus,Paracentrotus,,,,,,,YA2,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,4,0.615,0.015,18.5,11.7564456,0.54,0.043,1.36,0.03,90,,
2019,Davies,Paracentrotus,Paracentrotus,,,,,,,YLP,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.650,0.015,18.5,11.7564456,0.54,0.043,1.36,0.03,90,,
2019,Davies,Paracentrotus,Paracentrotus,,,,,,,YLR,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.644,0.006,18.5,11.7564456,0.54,0.043,1.36,0.03,90,,
2019,Davies,Paracentrotus,Paracentrotus,,,,,,,YLT,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.639,0.011,18.5,11.7564456,0.54,0.043,1.36,0.03,90,,
2019,Davies,Paracentrotus,Paracentrotus,,,,,,,YS,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.644,0.010,18.5,11.7564456,0.54,0.043,1.36,0.03,90,,
2019,Davies,Paracentrotus,Paracentrotus,,,,,,,YT,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.653,0.005,18.5,11.7564456,0.54,0.043,1.36,0.03,90,,
2019,Davies,Droebachiensis,Droebachiensis,,,,,,,SDA1,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.702,0.007,8.5,12.60609248,0.2,0.018,-1.2,0.009,90,,
2019,Davies,Droebachiensis,Droebachiensis,,,,,,,SDA2,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.700,0.007,8.5,12.60609248,0.2,0.018,-1.2,0.009,90,,
2019,Davies,Droebachiensis,Droebachiensis,,,,,,,SDS,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.673,0.002,8.5,12.60609248,0.2,0.018,-1.2,0.009,90,,
2019,Davies,Droebachiensis,Droebachiensis,,,,,,,SDLT,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.685,0.009,8.5,12.60609248,0.2,0.018,-1.2,0.009,90,,
2019,Davies,Droebachiensis,Droebachiensis,,,,,,,SDT,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,4,0.684,0.009,8.5,12.60609248,0.2,0.018,-1.2,0.009,90,,
2015,Defliese,,,,,,,,,70CCalcite3-30-2011,A,UMichigan,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,4,0.491,0.012462622,70,8.492430347,1,0.049,,,75,,Petersen
2015,Defliese,,,,,,,,,25CCalcite1-12-2011,C,UMichigan,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,4,0.589,0.013085765,25,11.24942624,1,0.075,,,75,,Petersen
